"Date","Day Traded","ORLA","SU","GIL","$USD","TU","EBAY","NXE","AMZN","SHOP","DNN","DAY","ENB","SLF","MFC"
"2024-02-22","No","7.4%","7.6%","8.0%","0.4%","7.5%","7.5%","7.4%","8.4%","7.1%","7.5%","7.9%","7.3%","7.9%","8.1%"
"2024-02-21","No","7.5%","7.6%","7.9%","0.4%","7.5%","7.5%","7.5%","8.2%","7.2%","7.8%","7.7%","7.3%","7.8%","8.1%"
"2024-02-20","No","7.4%","7.5%","7.7%","0.4%","7.5%","7.5%","7.5%","8.1%","7.5%","7.6%","7.9%","7.2%","7.9%","8.2%"
"2024-02-16","No","7.2%","7.4%","7.7%","0.4%","7.4%","7.3%","7.8%","8.1%","7.6%","8.0%","8.0%","7.1%","7.7%","8.2%"
"2024-02-15","No","7.2%","7.4%","7.7%","0.4%","7.3%","7.2%","7.8%","8.1%","7.9%","8.0%","8.0%","7.0%","7.7%","8.2%"
"2024-02-14","No","7.0%","7.2%","7.8%","0.4%","7.3%","7.3%","8.0%","8.4%","7.7%","8.3%","8.1%","7.0%","7.7%","7.7%"
"2024-02-13","No","6.9%","7.4%","7.8%","0.4%","7.3%","7.2%","8.1%","8.4%","7.5%","8.5%","7.9%","7.2%","7.7%","7.6%"
"2024-02-12","No","7.2%","7.2%","7.7%","0.4%","7.3%","7.3%","8.0%","8.2%","8.3%","8.4%","7.9%","7.0%","7.5%","7.5%"
"2024-02-09","No","7.2%","7.2%","7.6%","0.4%","7.3%","7.2%","8.0%","8.4%","8.5%","8.4%","7.7%","6.9%","7.6%","7.5%"
"2024-02-08","No","7.4%","7.3%","7.6%","0.4%","7.1%","7.2%","8.2%","8.2%","8.3%","8.4%","7.7%","7.0%","7.6%","7.5%"
"2024-02-07","No","7.5%","7.2%","7.6%","0.4%","7.2%","7.2%","8.4%","8.2%","8.0%","8.7%","7.6%","7.0%","7.6%","7.5%"
"2024-02-06","No","7.4%","7.3%","7.6%","0.4%","7.3%","7.3%","8.3%","8.2%","7.7%","8.6%","7.8%","7.1%","7.6%","7.5%"
"2024-02-05","No","7.3%","7.3%","7.5%","0.4%","7.3%","7.1%","8.5%","8.3%","7.8%","8.8%","7.7%","7.1%","7.5%","7.4%"
"2024-02-02","No","7.3%","7.2%","7.5%","0.4%","7.4%","7.1%","8.6%","8.2%","7.8%","8.8%","7.8%","7.2%","7.4%","7.3%"
"2024-02-01","No","7.3%","7.4%","7.6%","0.4%","7.6%","7.1%","8.7%","7.7%","7.3%","9.0%","7.7%","7.3%","7.5%","7.3%"
"2024-01-31","No","7.1%","7.6%","7.6%","0.4%","7.6%","7.1%","8.3%","7.6%","7.7%","8.5%","7.8%","7.4%","7.6%","7.5%"
"2024-01-30","No","7.3%","7.6%","7.6%","0.4%","7.6%","7.2%","8.2%","7.7%","7.8%","8.5%","7.7%","7.4%","7.5%","7.5%"
"2024-01-29","No","7.2%","7.5%","7.6%","0.4%","7.7%","7.3%","7.9%","7.9%","8.0%","8.3%","7.7%","7.4%","7.6%","7.4%"
"2024-01-26","No","7.2%","7.6%","7.6%","0.4%","7.7%","7.4%","8.0%","7.8%","7.9%","8.2%","7.6%","7.5%","7.6%","7.5%"
"2024-01-25","No","7.3%","7.5%","7.5%","0.4%","7.8%","7.4%","7.9%","7.8%","7.8%","8.2%","7.7%","7.5%","7.6%","7.5%"
"2024-01-24","No","7.1%","7.4%","7.4%","0.4%","7.8%","7.3%","8.1%","7.8%","7.9%","8.5%","7.8%","7.5%","7.6%","7.5%"
"2024-01-23","No","7.2%","7.3%","7.4%","0.4%","7.9%","7.2%","8.2%","7.7%","7.9%","8.5%","7.9%","7.5%","7.5%","7.4%"
"2024-01-22","No","7.1%","7.4%","7.5%","0.4%","7.9%","7.3%","8.1%","7.8%","7.9%","8.3%","7.7%","7.6%","7.6%","7.4%"
"2024-01-19","No","7.1%","7.4%","7.5%","0.4%","7.9%","7.2%","8.3%","7.8%","7.8%","8.5%","7.5%","7.6%","7.6%","7.3%"
"2024-01-18","No","7.1%","7.4%","7.5%","0.4%","7.9%","7.2%","8.5%","7.7%","7.6%","8.7%","7.5%","7.6%","7.6%","7.3%"
"2024-01-17","No","6.8%","7.4%","7.4%","0.4%","7.9%","7.2%","8.5%","7.6%","7.9%","8.8%","7.4%","7.7%","7.5%","7.3%"
"2024-01-16","No","6.9%","7.5%","7.3%","0.4%","7.9%","7.2%","8.5%","7.6%","8.0%","8.6%","7.4%","7.7%","7.6%","7.4%"
"2024-01-12","No","7.1%","7.6%","7.3%","0.4%","7.8%","7.2%","8.5%","7.7%","7.9%","8.5%","7.4%","7.7%","7.6%","7.3%"
"2024-01-11","No","6.9%","7.7%","7.4%","0.4%","7.9%","7.5%","7.8%","7.8%","8.1%","7.9%","7.5%","7.8%","7.7%","7.5%"
"2024-01-10","No","6.9%","7.7%","7.4%","0.4%","8.0%","7.6%","7.8%","7.8%","8.0%","7.7%","7.5%","7.9%","7.7%","7.6%"
"2024-01-09","No","6.8%","7.8%","7.4%","0.5%","7.9%","7.5%","7.8%","7.7%","8.0%","7.8%","7.6%","7.9%","7.7%","7.6%"
"2024-01-08","No","7.0%","7.9%","7.5%","0.5%","8.0%","7.7%","7.4%","7.6%","7.8%","7.4%","7.6%","8.0%","7.9%","7.8%"
"2024-01-05","No","7.0%","8.2%","7.6%","0.5%","8.0%","7.8%","7.6%","7.5%","7.5%","7.4%","7.4%","8.0%","7.9%","7.8%"
"2024-01-04","No","6.9%","8.1%","7.7%","0.5%","8.0%","7.7%","7.6%","7.4%","7.4%","7.5%","7.5%","7.9%","7.9%","7.7%"
"2024-01-03","No","6.9%","8.2%","7.8%","0.5%","8.0%","7.9%","7.5%","7.6%","7.2%","7.4%","7.5%","7.9%","7.9%","7.7%"
"2024-01-02","Yes","7.0%","7.7%","7.7%","0.5%","7.9%","7.9%","7.6%","7.7%","7.4%","7.5%","7.7%","7.8%","7.9%","7.7%"
"2023-12-29","No","7.1%","7.6%","7.7%","0.4%","7.7%","7.7%","7.7%","7.6%","7.7%","7.7%","7.7%","7.7%","7.8%","7.7%"
"2023-12-28","No","7.1%","7.5%","7.8%","0.4%","7.8%","7.7%","7.6%","7.7%","7.8%","7.5%","7.8%","7.7%","7.8%","7.7%"
"2023-12-27","No","7.4%","7.6%","7.7%","0.4%","7.7%","7.7%","7.6%","7.7%","7.7%","7.6%","7.7%","7.7%","7.7%","7.7%"
"2023-12-26","Yes","7.3%","7.7%","7.7%","0.4%","7.7%","7.7%","7.7%","7.7%","7.7%","7.7%","7.7%","7.7%","7.7%","7.7%"